,id,name,short_name,created,closed,rank,max_entries,league_type,scoring,admin_entry,start_event,entry_rank,entry_last_rank,entry_can_leave,entry_can_admin,entry_can_invite
0,11,Man City,team-11,2019-06-25T11:25:45.069952Z,False,,,s,c,,1,108285,0,False,False,False
1,261,England,region-241,2019-06-25T11:25:48.920594Z,False,,,s,c,,1,1013115,0,False,False,False
2,276,Gameweek 1,event-1,2019-06-25T11:25:49.137947Z,False,,,s,c,,1,3015361,0,False,False,False
3,314,Overall,overall,2019-06-25T11:25:49.714514Z,False,,,s,c,,1,3015361,0,False,False,False
4,967,Official /r/FantasyPL Classic League,,2019-06-27T11:18:51.729826Z,False,,,x,c,2056.0,1,22009,0,True,False,False
5,2494,www.youtube.com/letstalkfpl,,2019-06-27T11:36:05.477956Z,False,,,x,c,58.0,1,12743,0,True,False,False
6,84869,Music Group PL,,2019-07-01T10:28:15.004729Z,False,,,x,c,367500.0,1,8,0,True,False,False
7,137656,League 137656,,2019-07-05T20:31:50.753929Z,True,,,c,c,,1,10,0,True,False,False
8,137729,League 137729,,2019-07-05T20:42:22.033987Z,True,,,c,c,,1,12,0,True,False,False
9,153056,Savages,,2019-07-07T14:06:05.187676Z,False,,,x,c,5002.0,1,3,0,False,True,True
10,282284,Golazolive ,,2019-07-19T13:11:54.253967Z,False,,,x,c,211210.0,1,1617,0,True,False,False
11,548304,"Beak, Blues & Budweiser",,2019-07-31T21:28:48.678482Z,False,,,x,c,2262042.0,1,0,0,True,False,False
